example_id                                                           | status | run_time        |
./spec/cli/yri_spec.rb[1:2:1]                                        | passed | 0.00661 seconds |
./spec/cli/yri_spec.rb[1:3:1]                                        | passed | 0.00964 seconds |
./spec/cli/yri_spec.rb[1:3:2]                                        | passed | 0.01045 seconds |
./spec/cli/yri_spec.rb[1:4:1]                                        | passed | 0.00678 seconds |
./spec/cli/yri_spec.rb[1:4:2]                                        | passed | 0.00681 seconds |
./spec/cli/yri_spec.rb[1:4:3]                                        | passed | 0.00591 seconds |
./spec/cli/yri_spec.rb[1:4:4]                                        | passed | 0.00919 seconds |
./spec/code_objects/base_spec.rb[1:1]                                | passed | 0.00034 seconds |
./spec/code_objects/base_spec.rb[1:2]                                | passed | 0.0006 seconds  |
./spec/code_objects/base_spec.rb[1:3]                                | passed | 0.00615 seconds |
./spec/code_objects/base_spec.rb[1:4]                                | passed | 0.00333 seconds |
./spec/code_objects/base_spec.rb[1:5]                                | passed | 0.00321 seconds |
./spec/code_objects/base_spec.rb[1:6]                                | passed | 0.00061 seconds |
./spec/code_objects/base_spec.rb[1:7]                                | passed | 0.00038 seconds |
./spec/code_objects/base_spec.rb[1:8]                                | passed | 0.00015 seconds |
./spec/code_objects/base_spec.rb[1:9]                                | passed | 0.0002 seconds  |
./spec/code_objects/base_spec.rb[1:10]                               | passed | 0.00017 seconds |
./spec/code_objects/base_spec.rb[1:11]                               | passed | 0.00098 seconds |
./spec/code_objects/base_spec.rb[1:12]                               | passed | 0.00022 seconds |
./spec/code_objects/base_spec.rb[1:13:1]                             | passed | 0.00028 seconds |
./spec/code_objects/base_spec.rb[1:13:2]                             | passed | 0.00033 seconds |
./spec/code_objects/base_spec.rb[1:14]                               | passed | 0.00014 seconds |
./spec/code_objects/base_spec.rb[1:15]                               | passed | 0.00021 seconds |
./spec/code_objects/base_spec.rb[1:16]                               | passed | 0.00182 seconds |
./spec/code_objects/base_spec.rb[1:17]                               | passed | 0.0017 seconds  |
./spec/code_objects/base_spec.rb[1:18]                               | passed | 0.00054 seconds |
./spec/code_objects/base_spec.rb[1:19]                               | passed | 0.00061 seconds |
./spec/code_objects/base_spec.rb[1:20]                               | passed | 0.00174 seconds |
./spec/code_objects/base_spec.rb[1:21]                               | passed | 0.00256 seconds |
./spec/code_objects/base_spec.rb[1:22]                               | passed | 0.00187 seconds |
./spec/code_objects/base_spec.rb[1:23:1]                             | passed | 0.00075 seconds |
